Disease,Description,Symptoms,Diet,Medication,workout,Precautions
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,"[('cold_hands_and_feets', 5), ('fatigue', 4), ('lethargy', 2), ('mood_swings', 3), ('weight_gain', 3)]","['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']",Consume foods rich in vitamins B and D,"['exercise', 'get proper sleep', 'eat healthy', 'reduce stress']"
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,"[('cold_hands_and_feets', 5), ('fatigue', 4), ('lethargy', 2), ('mood_swings', 3), ('weight_gain', 3)]","['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']",Consult a healthcare professional,"['exercise', 'get proper sleep', 'eat healthy', 'reduce stress']"
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,"[('cold_hands_and_feets', 5), ('fatigue', 4), ('lethargy', 2), ('mood_swings', 3), ('weight_gain', 3)]","['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']",Follow medical recommendations,"['exercise', 'get proper sleep', 'eat healthy', 'reduce stress']"
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,"[('cold_hands_and_feets', 5), ('fatigue', 4), ('lethargy', 2), ('mood_swings', 3), ('weight_gain', 3)]","['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']",Maintain a stable weight,"['exercise', 'get proper sleep', 'eat healthy', 'reduce stress']"
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,"[('cold_hands_and_feets', 5), ('fatigue', 4), ('lethargy', 2), ('mood_swings', 3), ('weight_gain', 3)]","['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']",Engage in regular exercise,"['exercise', 'get proper sleep', 'eat healthy', 'reduce stress']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Limit iodine intake,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Consume cruciferous vegetables in moderation,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Stay hydrated,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Include nutrient-rich foods,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Limit caffeine and alcohol,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Include omega-3 fatty acids,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Consult a healthcare professional,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Follow medical recommendations,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Maintain a stable weight,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('mood_swings', 3), ('sweating', 3)]","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",Engage in regular exercise,"['use lemon balm', 'take radioactive iodine treatment', 'eat healthy', 'massage']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Consume complex carbohydrates,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Include protein-rich foods,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Stay hydrated,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Limit sugary foods and beverages,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Consume regular meals and snacks,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Consult a healthcare professional,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Monitor blood sugar levels,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Follow medical recommendations,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Engage in regular physical activity,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"[('fatigue', 4), ('headache', 3), ('vomiting', 5), ('sweating', 3), ('anxiety', 4)]","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",Limit alcohol intake,"['lie down on side', 'drink sugary drinks', 'check in pulse', 'consult doctor']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Consume anti-inflammatory foods,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Include omega-3 fatty acids,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Consume antioxidant-rich foods,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Stay hydrated,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Limit processed foods,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Include vitamin K-rich foods,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Consult a healthcare professional,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Follow medical recommendations,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Engage in low-impact exercise,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"[('hip_joint_pain', 2), ('joint_pain', 3), ('knee_pain', 3), ('neck_pain', 5), ('swelling_joints', 5)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",Maintain a healthy weight,"['consult nearest hospital', 'acetaminophen', 'follow up', 'salt baths']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Consume anti-inflammatory foods,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Include omega-3 fatty acids,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Consume antioxidant-rich foods,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Stay hydrated,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Limit processed foods,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Include vitamin K-rich foods,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Consult a healthcare professional,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Follow medical recommendations,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Engage in low-impact exercise,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","[('movement_stiffness', 5), ('painful_walking', 2), ('stiff_neck', 4), ('swelling_joints', 5), ('muscle_weakness', 2)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",Maintain a healthy weight,"['exercise', 'massage', 'use hot and cold therapy', 'try acupuncture']"
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,Not Available,"['Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea', 'Vitamin D-rich foods']","['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']",Not Available,[]
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Consume a balanced diet,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Limit dairy and high-glycemic foods,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Include antioxidants,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Stay hydrated,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Limit processed foods,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Include zinc-rich foods,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Consult a skincare professional,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Practice good skincare hygiene,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"[('blackheads', 2), ('skin_rash', 3), ('pus_filled_pimples', 2), ('scurring', 2)]","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",Limit sugary foods and beverages,"['drink plenty of water', 'avoid fatty spicy food', 'bath twice', 'avoid too many products']"
